source,event,acq_datetime,lat,lon,brightness,confidence,frp
NASA-FIRMS,Wildfire,2025-10-14 17:02:00,35.02681,-106.41977,300.97,0,7.62
NASA-FIRMS,Wildfire,2025-10-14 17:02:00,33.91121,-106.94181,303.51,30,5.9
NASA-FIRMS,Wildfire,2025-10-14 17:02:00,32.9622,-109.70065,309.49,65,6.36
NASA-FIRMS,Wildfire,2025-10-14 17:02:00,32.33551,-109.99302,324.34,61,24.29
NASA-FIRMS,Wildfire,2025-10-14 17:02:00,32.33358,-109.98115,312.27,63,10.69
NASA-FIRMS,Wildfire,2025-10-14 18:36:00,44.75547,-123.33994,300.88,42,22.2
NASA-FIRMS,Wildfire,2025-10-14 18:38:00,40.07336,-122.15183,311.16,47,79.61
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.98679,-83.54872,311.42,36,26.35
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.97956,-83.58096,315.9,70,45.94
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.98634,-83.55553,314.4,68,41.93
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.97892,-83.58768,311.79,62,30.24
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.8517,-84.55405,311.8,62,44.4
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.8429,-84.59184,342.1,92,304.67
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.85986,-84.56131,336.52,89,235.07
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.85088,-84.59892,362.12,100,622.81
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,30.84375,-84.81071,309.04,0,28.28
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.44674,-82.70158,312.5,63,27.98
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.79766,-81.39224,307.28,31,14.45
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.43101,-84.99806,310.2,59,34.97
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.42155,-85.03731,324.3,80,129.31
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.42857,-85.04341,320.84,75,95.43
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.24625,-82.18684,312.63,66,24.88
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.81325,-84.57669,309.86,60,35.49
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.91054,-85.58989,309.47,59,50.6
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.97618,-85.74954,340.03,91,333.31
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.9658,-85.79231,324.44,81,159.5
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.15038,-84.99926,309.23,51,37.37
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.98082,-85.75935,342.99,92,378.43
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,31.97025,-85.80184,313.07,67,73.73
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.79519,-82.74574,313.11,68,27.82
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.80835,-82.74984,327.31,83,83.63
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.80265,-82.77596,319.49,76,50.17
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.86576,-82.54965,326.42,82,76.77
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.86034,-82.57478,332.33,87,106.24
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.86198,-82.55547,331.45,86,100.32
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.85638,-82.58059,321.83,79,58.51
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.58592,-81.29428,306.14,51,11.14
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.36605,-82.34452,309.78,62,20.43
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.7847,-85.37737,308.97,59,40.01
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.77547,-85.41568,320.82,78,112.25
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.77754,-85.38237,309.6,61,40.12
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.7681,-85.42042,311.09,65,49.57
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.79305,-85.38769,308.43,42,34.34
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.78358,-85.42603,306.7,21,27.69
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.8767,-85.45863,323.07,80,125.13
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.86736,-85.49749,311.3,65,50.68
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.92859,-85.3116,311.82,58,50.94
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.91961,-85.34931,313.78,69,60.79
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.86907,-85.45966,315.78,72,76.39
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.92192,-85.31304,312.94,68,61.7
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.91267,-85.35077,311.51,66,53.85
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,32.88456,-85.46523,313.48,69,61.5
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.41876,-83.45442,316.41,73,48.41
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.4171,-83.43085,309.92,47,22.98
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.41066,-83.45882,310.74,52,25.46
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.42065,-83.80138,308.7,52,25.28
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.43061,-83.77714,309.08,60,25.07
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.4237,-83.80671,308.02,46,21.07
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.17855,-85.62994,319.92,77,104.82
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.16916,-85.6684,320.24,77,108.52
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.88099,-82.69727,314.45,71,34.11
NASA-FIRMS,Wildfire,2025-10-14 19:32:00,33.8782,-82.70083,312.6,68,28.56
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,35.79468,-85.22462,312.97,72,56.09
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,35.78686,-85.25735,321.74,80,97.84
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,41.22912,-82.71224,306.22,56,7.67
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,41.23113,-82.71796,306.74,57,8.71
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,41.56887,-84.03855,307.05,31,10.51
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,43.76261,-81.32056,305.37,61,8.68
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,42.37063,-89.03941,300.47,0,13.26
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,46.57756,-80.78636,326.24,84,27.03
NASA-FIRMS,Wildfire,2025-10-14 19:34:00,46.57535,-80.79954,335.83,90,40.74
NASA-FIRMS,Wildfire,2025-10-14 19:36:00,48.25204,-79.02815,300.38,27,5.15
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,30.63125,-91.61445,319.53,74,34.73
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,30.62921,-91.63483,340.42,91,109.38
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,30.6365,-91.62215,333.93,87,81.67
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,30.69966,-95.93299,313.45,40,5.19
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,31.20254,-94.63512,311.31,48,6.86
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,31.37695,-93.20524,324.25,79,32.49
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,31.38113,-93.19604,316.44,69,18.42
NASA-FIRMS,Wildfire,2025-10-14 21:08:00,31.49697,-93.57726,319.53,73,21.84
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,32.48893,-92.83989,321.33,76,35.3
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,32.48706,-92.8582,364.57,100,219.33
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,32.84587,-95.66516,319.16,70,13.23
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,33.76231,-90.8773,316.17,66,24.84
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,33.76086,-90.85835,326.26,0,59.45
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,33.53904,-93.84519,314.25,63,13.78
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,33.80571,-92.16227,309.49,52,15.72
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,33.4502,-95.99252,320.89,72,14.85
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,34.24889,-91.83942,315.32,60,21.88
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,34.23846,-91.84546,315.63,51,24.25
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,34.18072,-93.02293,313.71,65,17.92
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,34.35075,-92.02547,318.27,64,31.91
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,34.41056,-91.77827,332.76,71,86.03
NASA-FIRMS,Wildfire,2025-10-14 21:10:00,34.41407,-91.7626,310.67,0,14.16
